                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 1.0373,                0.58908,                 1.1086,                0.82187,                0.86376,                 0.8924,                0.62873,                 1.0402,                0.57204,                 1.1184,              0.0015449,              0.0015449,              0.0015449
                     77,                 1.0223,                0.58632,                 1.0722,                0.83848,                0.85479,                0.89525,                0.63535,                 1.0213,                0.57091,                 1.1177,              0.0015432,              0.0015432,              0.0015432
                     78,                 1.0409,                0.56686,                 1.0771,                0.81866,                0.86024,                0.88805,                0.63782,                0.99852,                0.57048,                 1.1122,              0.0015416,              0.0015416,              0.0015416
                     79,                 1.0236,                0.56343,                 1.0937,                0.81591,                0.88362,                0.89591,                0.64304,                0.99651,                0.56808,                 1.1107,              0.0015399,              0.0015399,              0.0015399
                     80,                 1.0186,                0.55122,                 1.0653,                0.84266,                0.86068,                0.89746,                0.63756,                 1.0117,                 0.5667,                 1.1119,              0.0015383,              0.0015383,              0.0015383
                     81,                 1.0409,                 0.5864,                 1.0671,                 0.8356,                0.86231,                 0.8945,                0.64306,                  1.007,                0.56992,                 1.1079,              0.0015366,              0.0015366,              0.0015366
                     82,                 1.0077,                0.54817,                 1.0621,                0.84224,                0.84827,                 0.8957,                0.64358,                 1.0047,                0.57069,                  1.103,               0.001535,               0.001535,               0.001535
                     83,                 1.0087,                0.54455,                 1.0659,                0.86158,                0.84426,                0.89962,                0.64719,                0.99051,                0.55586,                 1.0967,              0.0015333,              0.0015333,              0.0015333
                     84,                 1.0208,                0.56236,                 1.0765,                0.86056,                 0.8455,                0.89496,                 0.6392,                 1.0113,                0.57762,                 1.1036,              0.0015317,              0.0015317,              0.0015317
                     85,                 1.0022,                0.56034,                 1.0572,                0.84393,                0.82895,                0.88408,                0.64147,                0.99401,                0.57078,                 1.1015,                0.00153,                0.00153,                0.00153
                     86,                 1.0006,                0.55667,                 1.0631,                0.83501,                0.85093,                0.89435,                0.63433,                 1.0314,                0.57562,                 1.1136,              0.0015284,              0.0015284,              0.0015284
                     87,                 1.0052,                0.55658,                 1.0624,                0.84759,                0.85812,                0.90241,                0.64949,                 1.0057,                0.56324,                 1.1051,              0.0015267,              0.0015267,              0.0015267
                     88,                 1.0017,                   0.54,                 1.0619,                0.82949,                0.87175,                0.90713,                0.65535,                0.99597,                0.56911,                 1.1049,              0.0015251,              0.0015251,              0.0015251
                     89,                 1.0499,                0.56019,                 1.0959,                 0.8268,                 0.8853,                 0.9006,                 0.6414,                 1.0112,                0.57417,                 1.1164,              0.0015234,              0.0015234,              0.0015234
                     90,                 1.0246,                0.56541,                 1.0762,                0.85521,                0.83435,                0.89868,                0.64383,                 1.0041,                0.58005,                 1.1067,              0.0015218,              0.0015218,              0.0015218
                     91,                0.98876,                0.53529,                 1.0411,                0.84717,                0.84693,                0.89907,                0.64216,                  1.015,                0.56246,                 1.1124,              0.0015201,              0.0015201,              0.0015201
                     92,                 1.0114,                0.54597,                 1.0701,                0.82945,                0.87157,                0.89831,                0.63702,                 1.0131,                0.56738,                 1.1191,              0.0015185,              0.0015185,              0.0015185
                     93,                 1.0159,                0.56337,                 1.0697,                0.84942,                0.85158,                0.89364,                0.62785,                 1.0359,                0.57559,                 1.1177,              0.0015168,              0.0015168,              0.0015168
                     94,                 1.0088,                0.55338,                 1.0606,                0.82001,                0.88281,                 0.9055,                0.65154,                0.98911,                0.55931,                 1.0982,              0.0015152,              0.0015152,              0.0015152
