                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.57156,                0.63583,                0.60057,                0.95354,                0.80335,                0.79255,                0.86459,                0.72129,                0.80736,                0.78025,                 0.8569,                0.55328,                0.60258,                 0.6263,                0.63894,                 1.0391,              0.0094258,              0.0094258,              0.0094258
                     61,                0.56322,                0.66252,                0.56526,                0.94705,                0.82583,                0.79982,                0.88065,                0.73363,                 0.8138,                0.78678,                0.86302,                0.55724,                0.59997,                0.62226,                0.61554,                  1.047,              0.0094159,              0.0094159,              0.0094159
                     62,                0.56139,                0.62766,                0.56542,                0.94043,                0.82689,                0.81127,                0.87519,                0.72922,                0.82531,                0.80595,                0.86694,                0.56576,                0.59836,                0.62134,                 0.6355,                 1.0411,               0.009406,               0.009406,               0.009406
                     63,                0.56597,                0.66895,                0.56551,                0.95399,                0.81978,                0.79961,                0.86539,                 0.7267,                0.81282,                0.79212,                  0.852,                0.55969,                0.59258,                0.62595,                 0.6449,                 1.0396,              0.0093961,              0.0093961,              0.0093961
                     64,                0.56778,                0.64255,                0.57965,                0.94527,                0.79922,                0.81416,                0.86375,                0.71889,                 0.8006,                0.81094,                0.85822,                0.56093,                 0.6079,                 0.6243,                0.65354,                 1.0419,              0.0093862,              0.0093862,              0.0093862
                     65,                0.56606,                 0.6606,                0.56171,                0.96044,                0.79814,                0.82081,                0.86305,                0.71694,                0.78263,                0.81449,                0.84995,                0.55464,                 0.6078,                0.63998,                0.64478,                 1.0455,              0.0093763,              0.0093763,              0.0093763
                     66,                0.55124,                0.64911,                  0.555,                0.94623,                0.79968,                0.84251,                0.88432,                0.74143,                0.79385,                0.83791,                0.87402,                0.57591,                0.58609,                0.61544,                0.60102,                 1.0211,              0.0093664,              0.0093664,              0.0093664
                     67,                0.56515,                0.63946,                0.54394,                0.95066,                0.82855,                 0.8297,                0.88817,                0.74884,                0.82035,                0.82083,                 0.8734,                0.57814,                0.57606,                0.61863,                 0.5806,                 1.0311,              0.0093565,              0.0093565,              0.0093565
                     68,                0.55772,                0.65451,                 0.5572,                0.94982,                0.84661,                0.76387,                0.86178,                0.71425,                 0.8442,                 0.7578,                0.85067,                0.55864,                0.58562,                0.61752,                 0.6439,                 1.0268,              0.0093466,              0.0093466,              0.0093466
                     69,                0.56769,                0.65587,                0.55834,                0.95176,                 0.8397,                0.80608,                0.87982,                 0.7408,                0.83375,                0.79958,                0.86912,                0.57205,                0.58193,                0.61342,                0.60784,                 1.0329,              0.0093367,              0.0093367,              0.0093367
